Event Code,Event,000,100,110,101,011,010,001,111
1,Strikeout,000,100,110,101,011,010,001,111
2,Walk,100,110,111,111,111,110,101,111
3,HBP,100,110,111,111,111,110,101,111
4,Error,100,110,111,110,101,101,100,111
5,Long Single (advance 2 bases),100,101,101,101,100,100,100,101
6,Medium Single (score from 2nd),100,110,110,110,100,100,100,110
7,Short single (advance one base),100,110,111,110,101,101,100,111
8,Short double,010,011,011,011,010,010,010,011
9,Long double,010,010,010,010,010,010,010,010
10,Triple ,001,001,001,001,001,001,001,001
11,Home run,000,000,000,000,000,000,000,000
12,Ground into Double Play,000,000,001,000,011,010,001,011
13,Normal Ground ball,000,100,101,100,011,001,000,101
14,Line drive or Infield fly,000,100,110,101,011,010,001,111
15,Long Fly,000,100,101,100,001,001,000,101
16,Medium Fly,000,100,110,100,010,010,000,110
17,Short Fly,000,100,110,101,011,010,001,111
